MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10001583637,000000000024709845,0.100,Active Import Interval (kW),15-05-2025 01:00
10001583637,000000000024709845,0.112,Active Import Interval (kW),15-05-2025 00:30
10001583637,000000000024709845,0.136,Active Import Interval (kW),15-05-2025 00:00
10001583637,000000000024709845,0.122,Active Import Interval (kW),14-05-2025 23:30
10001583637,000000000024709845,0.130,Active Import Interval (kW),14-05-2025 23:00
10001583637,000000000024709845,0.404,Active Import Interval (kW),14-05-2025 22:30
10001583637,000000000024709845,1.816,Active Import Interval (kW),14-05-2025 22:00
10001583637,000000000024709845,2.350,Active Import Interval (kW),14-05-2025 21:30
10001583637,000000000024709845,3.230,Active Import Interval (kW),14-05-2025 21:00
10001583637,000000000024709845,0.326,Active Import Interval (kW),14-05-2025 20:30
10001583637,000000000024709845,0.082,Active Import Interval (kW),14-05-2025 20:00
10001583637,000000000024709845,0.074,Active Import Interval (kW),14-05-2025 19:30
10001583637,000000000024709845,0.090,Active Import Interval (kW),14-05-2025 19:00
10001583637,000000000024709845,0.094,Active Import Interval (kW),14-05-2025 18:30
10001583637,000000000024709845,0.092,Active Import Interval (kW),14-05-2025 18:00
10001583637,000000000024709845,0.158,Active Import Interval (kW),14-05-2025 17:30
10001583637,000000000024709845,0.302,Active Import Interval (kW),14-05-2025 17:00
10001583637,000000000024709845,0.212,Active Import Interval (kW),14-05-2025 16:30
10001583637,000000000024709845,0.308,Active Import Interval (kW),14-05-2025 16:00
10001583637,000000000024709845,0.184,Active Import Interval (kW),14-05-2025 15:30
10001583637,000000000024709845,0.158,Active Import Interval (kW),14-05-2025 15:00
10001583637,000000000024709845,0.160,Active Import Interval (kW),14-05-2025 14:30
10001583637,000000000024709845,0.164,Active Import Interval (kW),14-05-2025 14:00
10001583637,000000000024709845,0.160,Active Import Interval (kW),14-05-2025 13:30
10001583637,000000000024709845,2.394,Active Import Interval (kW),14-05-2025 13:00
10001583637,000000000024709845,0.266,Active Import Interval (kW),14-05-2025 12:30
10001583637,000000000024709845,1.002,Active Import Interval (kW),14-05-2025 12:00
10001583637,000000000024709845,0.236,Active Import Interval (kW),14-05-2025 11:30
10001583637,000000000024709845,0.340,Active Import Interval (kW),14-05-2025 11:00
10001583637,000000000024709845,0.090,Active Import Interval (kW),14-05-2025 10:30
10001583637,000000000024709845,0.148,Active Import Interval (kW),14-05-2025 10:00
10001583637,000000000024709845,0.136,Active Import Interval (kW),14-05-2025 09:30
10001583637,000000000024709845,0.074,Active Import Interval (kW),14-05-2025 09:00
10001583637,000000000024709845,0.090,Active Import Interval (kW),14-05-2025 08:30
10001583637,000000000024709845,0.434,Active Import Interval (kW),14-05-2025 08:00
10001583637,000000000024709845,0.084,Active Import Interval (kW),14-05-2025 07:30
10001583637,000000000024709845,0.090,Active Import Interval (kW),14-05-2025 07:00
10001583637,000000000024709845,0.506,Active Import Interval (kW),14-05-2025 06:30
10001583637,000000000024709845,0.092,Active Import Interval (kW),14-05-2025 06:00
10001583637,000000000024709845,0.616,Active Import Interval (kW),14-05-2025 05:30
10001583637,000000000024709845,3.128,Active Import Interval (kW),14-05-2025 05:00
10001583637,000000000024709845,3.162,Active Import Interval (kW),14-05-2025 04:30
10001583637,000000000024709845,0.390,Active Import Interval (kW),14-05-2025 04:00
10001583637,000000000024709845,0.088,Active Import Interval (kW),14-05-2025 03:30
10001583637,000000000024709845,0.088,Active Import Interval (kW),14-05-2025 03:00
10001583637,000000000024709845,0.086,Active Import Interval (kW),14-05-2025 02:30
10001583637,000000000024709845,0.116,Active Import Interval (kW),14-05-2025 02:00
10001583637,000000000024709845,0.118,Active Import Interval (kW),14-05-2025 01:30
10001583637,000000000024709845,0.094,Active Import Interval (kW),14-05-2025 01:00
10001583637,000000000024709845,0.114,Active Import Interval (kW),14-05-2025 00:30
10001583637,000000000024709845,0.118,Active Import Interval (kW),14-05-2025 00:00
10001583637,000000000024709845,0.100,Active Import Interval (kW),13-05-2025 23:30
10001583637,000000000024709845,1.390,Active Import Interval (kW),13-05-2025 23:00
10001583637,000000000024709845,2.364,Active Import Interval (kW),13-05-2025 22:30
10001583637,000000000024709845,0.112,Active Import Interval (kW),13-05-2025 22:00
