MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10001583637,000000000024709845,1.5600,Active Import Interval (kWh),19-07-2025 03:30
10001583637,000000000024709845,1.1160,Active Import Interval (kWh),19-07-2025 03:00
10001583637,000000000024709845,0.0190,Active Import Interval (kWh),19-07-2025 02:30
10001583637,000000000024709845,0.0280,Active Import Interval (kWh),19-07-2025 02:00
10001583637,000000000024709845,0.0160,Active Import Interval (kWh),19-07-2025 01:30
10001583637,000000000024709845,0.0330,Active Import Interval (kWh),19-07-2025 01:00
10001583637,000000000024709845,0.0320,Active Import Interval (kWh),19-07-2025 00:30
10001583637,000000000024709845,0.0180,Active Import Interval (kWh),19-07-2025 00:00
10001583637,000000000024709845,0.0390,Active Import Interval (kWh),18-07-2025 23:30
10001583637,000000000024709845,0.0460,Active Import Interval (kWh),18-07-2025 23:00
10001583637,000000000024709845,0.0480,Active Import Interval (kWh),18-07-2025 22:30
10001583637,000000000024709845,0.2060,Active Import Interval (kWh),18-07-2025 22:00
10001583637,000000000024709845,0.5990,Active Import Interval (kWh),18-07-2025 21:30
10001583637,000000000024709845,0.0250,Active Import Interval (kWh),18-07-2025 21:00
10001583637,000000000024709845,0.0370,Active Import Interval (kWh),18-07-2025 20:30
10001583637,000000000024709845,0.0370,Active Import Interval (kWh),18-07-2025 20:00
10001583637,000000000024709845,0.0320,Active Import Interval (kWh),18-07-2025 19:30
10001583637,000000000024709845,0.0160,Active Import Interval (kWh),18-07-2025 19:00
10001583637,000000000024709845,0.0340,Active Import Interval (kWh),18-07-2025 18:30
10001583637,000000000024709845,0.0290,Active Import Interval (kWh),18-07-2025 18:00
10001583637,000000000024709845,0.0080,Active Import Interval (kWh),18-07-2025 17:30
10001583637,000000000024709845,0.0340,Active Import Interval (kWh),18-07-2025 17:00
10001583637,000000000024709845,0.0370,Active Import Interval (kWh),18-07-2025 16:30
10001583637,000000000024709845,0.0250,Active Import Interval (kWh),18-07-2025 16:00
10001583637,000000000024709845,0.0340,Active Import Interval (kWh),18-07-2025 15:30
10001583637,000000000024709845,0.0510,Active Import Interval (kWh),18-07-2025 15:00
10001583637,000000000024709845,0.0580,Active Import Interval (kWh),18-07-2025 14:30
10001583637,000000000024709845,0.1930,Active Import Interval (kWh),18-07-2025 14:00
10001583637,000000000024709845,0.1820,Active Import Interval (kWh),18-07-2025 13:30
10001583637,000000000024709845,0.0730,Active Import Interval (kWh),18-07-2025 13:00
10001583637,000000000024709845,0.0740,Active Import Interval (kWh),18-07-2025 12:30
10001583637,000000000024709845,0.0500,Active Import Interval (kWh),18-07-2025 12:00
10001583637,000000000024709845,0.0630,Active Import Interval (kWh),18-07-2025 11:30
10001583637,000000000024709845,0.0870,Active Import Interval (kWh),18-07-2025 11:00
10001583637,000000000024709845,0.0660,Active Import Interval (kWh),18-07-2025 10:30
10001583637,000000000024709845,0.0340,Active Import Interval (kWh),18-07-2025 10:00
10001583637,000000000024709845,0.1530,Active Import Interval (kWh),18-07-2025 09:30
10001583637,000000000024709845,0.0570,Active Import Interval (kWh),18-07-2025 09:00
10001583637,000000000024709845,0.0210,Active Import Interval (kWh),18-07-2025 08:30
10001583637,000000000024709845,0.0260,Active Import Interval (kWh),18-07-2025 08:00
10001583637,000000000024709845,0.0140,Active Import Interval (kWh),18-07-2025 07:30
10001583637,000000000024709845,0.0200,Active Import Interval (kWh),18-07-2025 07:00
10001583637,000000000024709845,0.0260,Active Import Interval (kWh),18-07-2025 06:30
10001583637,000000000024709845,0.0110,Active Import Interval (kWh),18-07-2025 06:00
10001583637,000000000024709845,0.3910,Active Import Interval (kWh),18-07-2025 05:30
10001583637,000000000024709845,0.0250,Active Import Interval (kWh),18-07-2025 05:00
10001583637,000000000024709845,0.6420,Active Import Interval (kWh),18-07-2025 04:30
10001583637,000000000024709845,1.5730,Active Import Interval (kWh),18-07-2025 04:00
10001583637,000000000024709845,1.5710,Active Import Interval (kWh),18-07-2025 03:30
10001583637,000000000024709845,1.1180,Active Import Interval (kWh),18-07-2025 03:00
10001583637,000000000024709845,0.0190,Active Import Interval (kWh),18-07-2025 02:30
10001583637,000000000024709845,0.0360,Active Import Interval (kWh),18-07-2025 02:00
10001583637,000000000024709845,0.0350,Active Import Interval (kWh),18-07-2025 01:30
10001583637,000000000024709845,0.0280,Active Import Interval (kWh),18-07-2025 01:00
10001583637,000000000024709845,0.0370,Active Import Interval (kWh),18-07-2025 00:30
10001583637,000000000024709845,0.0510,Active Import Interval (kWh),18-07-2025 00:00
10001583637,000000000024709845,0.0500,Active Import Interval (kWh),17-07-2025 23:30
10001583637,000000000024709845,0.0390,Active Import Interval (kWh),17-07-2025 23:00
10001583637,000000000024709845,0.0560,Active Import Interval (kWh),17-07-2025 22:30
10001583637,000000000024709845,0.1370,Active Import Interval (kWh),17-07-2025 22:00
10001583637,000000000024709845,1.2620,Active Import Interval (kWh),17-07-2025 21:30
10001583637,000000000024709845,0.1030,Active Import Interval (kWh),17-07-2025 21:00
10001583637,000000000024709845,0.0610,Active Import Interval (kWh),17-07-2025 20:30
10001583637,000000000024709845,0.1200,Active Import Interval (kWh),17-07-2025 20:00
10001583637,000000000024709845,0.0290,Active Import Interval (kWh),17-07-2025 19:30
10001583637,000000000024709845,0.0300,Active Import Interval (kWh),17-07-2025 19:00
10001583637,000000000024709845,0.0380,Active Import Interval (kWh),17-07-2025 18:30
10001583637,000000000024709845,0.0490,Active Import Interval (kWh),17-07-2025 18:00
10001583637,000000000024709845,0.0520,Active Import Interval (kWh),17-07-2025 17:30
10001583637,000000000024709845,0.2820,Active Import Interval (kWh),17-07-2025 17:00
10001583637,000000000024709845,0.2530,Active Import Interval (kWh),17-07-2025 16:30
10001583637,000000000024709845,0.0390,Active Import Interval (kWh),17-07-2025 16:00
10001583637,000000000024709845,0.0640,Active Import Interval (kWh),17-07-2025 15:30
10001583637,000000000024709845,0.0860,Active Import Interval (kWh),17-07-2025 15:00
10001583637,000000000024709845,0.1210,Active Import Interval (kWh),17-07-2025 14:30
10001583637,000000000024709845,0.0500,Active Import Interval (kWh),17-07-2025 14:00
10001583637,000000000024709845,0.0870,Active Import Interval (kWh),17-07-2025 13:30
10001583637,000000000024709845,0.1130,Active Import Interval (kWh),17-07-2025 13:00
10001583637,000000000024709845,0.5220,Active Import Interval (kWh),17-07-2025 12:30
10001583637,000000000024709845,0.1160,Active Import Interval (kWh),17-07-2025 12:00
10001583637,000000000024709845,0.1130,Active Import Interval (kWh),17-07-2025 11:30
10001583637,000000000024709845,0.0610,Active Import Interval (kWh),17-07-2025 11:00
10001583637,000000000024709845,0.0460,Active Import Interval (kWh),17-07-2025 10:30
10001583637,000000000024709845,0.1230,Active Import Interval (kWh),17-07-2025 10:00
10001583637,000000000024709845,0.0200,Active Import Interval (kWh),17-07-2025 09:30
10001583637,000000000024709845,0.0410,Active Import Interval (kWh),17-07-2025 09:00
10001583637,000000000024709845,0.0270,Active Import Interval (kWh),17-07-2025 08:30
10001583637,000000000024709845,0.0140,Active Import Interval (kWh),17-07-2025 08:00
10001583637,000000000024709845,0.0270,Active Import Interval (kWh),17-07-2025 07:30
10001583637,000000000024709845,0.0220,Active Import Interval (kWh),17-07-2025 07:00
10001583637,000000000024709845,0.0140,Active Import Interval (kWh),17-07-2025 06:30
10001583637,000000000024709845,0.0280,Active Import Interval (kWh),17-07-2025 06:00
10001583637,000000000024709845,0.3360,Active Import Interval (kWh),17-07-2025 05:30
10001583637,000000000024709845,0.2290,Active Import Interval (kWh),17-07-2025 05:00
10001583637,000000000024709845,0.3290,Active Import Interval (kWh),17-07-2025 04:30
10001583637,000000000024709845,1.6010,Active Import Interval (kWh),17-07-2025 04:00
10001583637,000000000024709845,1.5950,Active Import Interval (kWh),17-07-2025 03:30
10001583637,000000000024709845,1.1400,Active Import Interval (kWh),17-07-2025 03:00
10001583637,000000000024709845,0.0290,Active Import Interval (kWh),17-07-2025 02:30
10001583637,000000000024709845,0.0210,Active Import Interval (kWh),17-07-2025 02:00
10001583637,000000000024709845,0.0360,Active Import Interval (kWh),17-07-2025 01:30
10001583637,000000000024709845,0.0350,Active Import Interval (kWh),17-07-2025 01:00
10001583637,000000000024709845,0.0470,Active Import Interval (kWh),17-07-2025 00:30
10001583637,000000000024709845,0.0670,Active Import Interval (kWh),17-07-2025 00:00
10001583637,000000000024709845,0.0460,Active Import Interval (kWh),16-07-2025 23:30
